PSRJ|S728|e_S728|S1382|e_S1382|S3100|e_S3100
 |mJy|mJy|mJy|mJy|mJy|mJy
-----------|-------|------|--------|------|-------|------
J1048-5832 |  12.00|  1.00|   9.100| 0.500|  6.200| 0.500
J1049-5833 |       |      |        |      |  0.070| 0.010
J1052-5954 |   0.20|      |   0.147| 0.009|  0.071| 0.005
J1055-6028 |   1.20|  0.20|   0.950| 0.050|  0.130| 0.010
J1056-6258 |  54.00|  6.00|  34.000| 8.000| 11.000| 1.000
J1057-5226 |  22.00|  5.00|   4.400| 0.600|  1.400| 0.300
J1057-7914 |   2.40|  0.90|        |      |  0.100|
J1058-5957 |       |      |   0.600| 0.100|       |
J1059-5742 |  30.00| 10.00|   2.000| 0.600|  0.210| 0.050
J1105-6107 |   2.40|  0.20|   1.200| 0.070|  0.460| 0.040
J1110-5637 |   4.70|  0.70|   3.300| 0.800|  0.900| 0.200
J1112-6103 |   0.08|      |   2.300| 0.100|  1.030| 0.070
J1112-6613 |  12.00|  4.00|   1.700| 0.400|  0.320| 0.050
J1112-6926 |   4.00|  1.00|   0.600| 0.200|  0.400| 0.100
J1114-6100 |       |      |   4.700| 0.900|  1.800| 0.700
J1115-6052 |   1.90|  0.50|   0.480| 0.030|  0.200| 0.010
J1116-4122 |   6.00|  7.00|   6.000| 2.000|  0.300| 0.100
J1117-6154 |       |      |   1.600| 0.300|       |
J1119-6127 |   3.00|  0.40|   1.090| 0.060|  0.360| 0.030
J1119-7936 |   3.00|  1.00|        |      |  0.060|
J1121-5444 |   4.30|  0.90|   1.500| 0.400|  0.220| 0.050
J1123-4844 |   2.50|  0.50|   1.000| 0.300|  0.400| 0.100
J1123-6102 |       |      |   1.100| 0.200|       |
J1123-6259 |   2.00|  0.20|   0.510| 0.030|  0.100| 0.006
J1126-6942 |   3.00|  1.00|        |      |  0.050|
J1133-6250 |  22.00|  3.00|   7.000| 1.000|  1.600| 0.300
J1136+1551 |       |      |  20.000|10.000|       |
J1136-5525 |       |      |   6.000| 1.000|       |
J1138-6207 |   0.30|      |   0.570| 0.030|  0.270| 0.020
J1141-3322 |       |      |   1.600| 0.500|       |
J1141-6545 |  15.00|  4.00|   2.400| 0.700|  0.280| 0.080
J1144-6146 |       |      |   0.600|      |       |
J1146-6030 |  10.00|  3.00|   3.200| 0.600|  1.100| 0.300
J1156-5707 |   0.50|  0.10|   0.270| 0.020|  0.120| 0.010
J1156-5909 |  40.00|      |        |      |  0.010|
J1157-6224 |  54.00|  9.00|  14.000| 3.000|  1.800| 0.400
J1159-7910 |       |      |   0.700| 0.200|       |
J1202-5820 |   9.00|  2.00|   3.000| 0.800|  0.700| 0.200
J1210-5559 |  10.00|  2.00|   2.300| 0.600|  0.270| 0.070
J1216-6223 |   0.40|      |   0.230| 0.010|  0.061| 0.006
