PSRJ|S728|e_S728|S1382|e_S1382|S3100|e_S3100
 |mJy|mJy|mJy|mJy|mJy|mJy
-----------|-------|------|--------|------|-------|------
J1903+0135 |  29.00|  4.00|        |      |  1.300| 0.200
J1903-0632 |   7.00|  2.00|        |      |  0.130| 0.030
J1903-0848 |   0.70|  0.20|        |      |  0.020|
J1904+0004 |   8.00|  2.00|        |      |  0.600| 0.100
J1905-0056 |   1.70|  0.30|        |      |  0.120| 0.030
J1907+0534 |   0.90|  0.10|        |      |       |
J1908+0500 |   3.40|  0.70|        |      |  0.400| 0.100
J1909+1102 |  12.00|  3.00|        |      |  0.340| 0.090
J1909-3744 |   1.50|  0.80|   1.000| 1.000|  0.500| 0.400
J1913-0440 |  28.00|  5.00|        |      |  1.800| 0.500
J1915+1009 |       |      |        |      |  0.390| 0.090
J1916+1312 |       |      |        |      |  0.500| 0.100
J1920+1040 |       |      |        |      |  0.010|
J1932-3655 |   2.30|  0.80|        |      |  0.090| 0.040
J1933-6211 |   2.00|  2.00|        |      |  0.200| 0.200
J1941-2602 |   4.00|  2.00|        |      |  0.500| 0.200
J1946-2913 |   3.00|  1.00|        |      |  0.100|
J1947-4215 |   0.07|      |        |      |       |
J2006-0807 |  11.00|  5.00|        |      |  0.020|
J2010-1323 |   1.10|  0.70|        |      |       |
J2038-3816 |   1.40|  0.70|        |      |  0.200|
J2046-0421 |       |      |        |      |  0.200| 0.100
J2048-1616 |  40.00| 30.00|        |      |  4.000| 4.000
J2051-0827 |   3.00|  2.00|        |      |       |
J2053-7200 |  11.00|  7.00|        |      |  0.300| 0.200
J2108-3429 |   2.00|  1.00|        |      |       |
J2145-0750 |  10.00| 10.00|   0.800| 0.400|  2.000| 2.000
J2222-0137 |   1.00|  1.00|        |      |  0.500| 0.700
J2317+1439 |       |      |        |      |  0.020|
