Pulsar Jname,Frequency (MHz),Bandwidth (MHz),Flux Density (mJy),Flux Density Uncertainty (mJy)
B0329+54,33900,2000,0.16,0.02
B0355+54,33900,2000,1.1,0.1
B0355+54,33900,2000,1.0,0.1
B0355+54,34800,200,0.79,0.08
B1929+10,33900,2000,0.28,0.03
B2021+51,33900,2000,0.53,0.05
B2021+51,33900,2000,0.51,0.05
B2021+51,34800,200,0.37,0.04
