Pulsar Jname,Frequency (MHz),Bandwidth (MHz),Flux Density (mJy),Flux Density Uncertainty (mJy)
J0218+4232,411.0,8.0,35.0,5.0
J0218+4232,606.0,8.0,8.0,5.0
J0218+4232,1404.0,32.0,0.9,0.2
