Pulsar Jname,Frequency (MHz),Bandwidth (MHz),Flux Density (mJy),Flux Density Uncertainty (mJy)
J1713+0747,8350.0,200.0,0.11
B1855+09,8350.0,200.0,0.1,0.02
J2145-0750,8350.0,200.0,0.07
