Pulsar Jname,Frequency (MHz),Bandwidth (MHz),Flux Density (mJy),Flux Density Uncertainty (mJy)
J1022+1001,8350.0,200.0,0.197,0.057
J1518+4904,8350.0,200.0,0.078,0.018
J1713+0747,8350.0,200.0,0.096,0.014
B1937+21,8350.0,200.0,0.039,0.015
J2145-0750,8350.0,200.0,0.080,0.037
