(1) (2) NoPSR,,(3) V (MHz),(4) S /     w \ (io-26—) \    m2Hz /,(5) £ \    m2Hz J,(6)            (7) Total number of,,(8) a (100-400) MHz,
,,,,,Observ.,Pulses,,
43,1749 - 28,40,<1.8,<1000,1,1900,,
,,61,1.23 ± 0.27,690,2,3700,,
,,85,0.96 ± 0.36,540,2,3700,,
,,102.5,1.64 ± 0.82,920,2,3700,0.52,
44,1811+40,102.5,0.04 ± 0.01,38,4,1020,1.04,
45,1818-04,102.5,0.09 ± 0.02,55,3,1000,-0.36,
46,1821 + 05,102.5,0.08 ± 0.03,60,4,1860,0.5,
47,1822 - 09,40,<0.44,<340,2,2460,,
,,61,0.79 ± 0.16,610,9,11270,,
,,85,0.38 ± 0.25,290,3,3700,,
,,102.5,0.60 ± 0.13,460,8,4020,2.23,
48,1831-04,102.5,0.9 ±0.5,280,4,1480,1.69,
49,1839 + 56,102.5,0.12 ± 0.05,200,7,1400,,
50,1842 + 14,102.5,0.43 ± 0.24,160,6,3500,2.3,
51,1905 + 40,102.5,0.03 ± 0.01,36,3,770,0.11,
52,1907 + 00,102.5,0.05 ± 0.03*,55,6,1200,0.81,
53,1907 + 03,102.5,0.16 ± 0.08,370,,2,180,1.21
54,1911 -04,102.5,0.17 ± 0.05,140,,3,750,0.34
55,1916+14,102.5,<0.08,<100,,4,1700,
56,1917+00,102.5,<0.05,<60,,4,900,
57,1919 + 21,40,0.25 ± 0.08,340,,4,2200,
,,61,2.1 ±0.43,2810,,15,3900,
,,102.5,1.2 ±0.24,1600,,15,3700,1.96
58,1927 + 18,102.5,<0.02,<20,,4,740,
59,1929 + 10,102.5,0.22 ±0.13*,50,,7,6600,-0.21
60,1933 + 16,102.5,<0.17,<60,,3,1820,-0.31
61,1942 - 00,102.5,<0.01,<12,,4,800,
62,1942 + 17,102.5,<0.01,<25,,4,440,
63,1944 + 17,39,<0.14,<60,,1,2100,
,,86,<0.16,<70,,1,2100,
,,102.5,0.15 ± 0.09*,65,,9,4000,0.78
64,1954 + 51,102.5,0.03 ± 0.02,18,,5,2560,0.0
65,2016 + 28,102.5,0.20 ± 0.04,110,,22,8000,-0.14
66,2020 + 28,39,<0.06,<20,,1,3070,
