Table 1. Pulse energies,,,,,,
Pulsar,Symbol,Frequency (MHz),Pulse energies (ICT^Jm^Hz’1),Error,Polar.,Ref.
,,73.8,784,150,I,[10]
,,80,1000,b,z,[63]
,,81.5,356,c,,[55]
,,111.5,772,190,I,[10]
,,150,330,c,t,[59]
,,151,400,c,z,[43]
,,196.5,558,260,I,[10]
,,318,100,c,,[13]
,,408,120,c,I,[43]
,,410,120,a,t,[48]
,,430,261,100,I,[10]
,,606,238,120,I,[10]
,,992,70,c,I,[43]
,,1400,59,30,I,[ 3]
,,1420,30,c,,[26]
,,1420,25,b,,[23]
,,1420,61,11,I,[61]
,,1420,36,b,I,[20]
,N,1665,3.3,c,t,[48]
,,2295,20,b,,[19]
,,2388,17.7 m,a,z,[16]
,,2388,15.7,1,z,[17]
,,2650,25,c,t,[54]
,,2700,16.6,a,t,[32]
,,4850,1.8,c,I,[14]
,,5000,4,0.5,I,[ 3]
,,8078,1.2,c,z,[ 4]
PSR 1133 + 16,A,8448,<     0.9,,z,[16]
,,10690,0.3,c,I,[72]
PSR 1237 + 25,,53,166,110,I,[10]
,,73.8,194,100,I,[10]
,A,80,<   150,,z,[63]
,,111.5,290,40,I,[10]
,,196.5,249,100,I,[10]
,,410,70,b,I,[45]
,,410,55,b,t,[48]
,,430,152,70,I,[10]
,,606,69,40,I,[10]
,,1420,22,7,I,[61]
,,1420,6,b,I,[20]
,,1664,5.4,b,t,[48]
,,2388,7.2,1,z,[17]
,A,2700,<    28,,t,[32]
,A,8078,<     0.8,,z,[ 4]
PSR 1508 + 55,,81.5,400,c,,[44]
,,110,500,c,t,[31]
,,151,200,c,,[44]
,,408,150,c,,[44]
,,410,35,b,t,[48]
,,610,80,c,,[44]
,A,1420,<     5,,I,[20]
,,1665,3.7,c,t,[48]
,A,2295,<    10,,,[19]
,A,2700,<     14.8,,,[32]
PSR 1541+09,,53,172,60,I,[10]
,,73.8,262,90,I,[10]
,A,80,<   130,,z,[63]
,,111.5,254,30,I,[10]
,,196.5,127,23,I,[10]
,,320,40,c,,[42]
,,327,50,b,,[53]
,,430,55,7,I,[10]
,,606,34,14,I,[10]
PSR 1642-03,,80,900,b,z,[63]
,,408,100,c,,[68]
,,410,135,a,t,[48]
,A,1420,<    2,,I,[20]
,,1420,11,3,I,[61]
,,1664,1.6,b,t,[48]
,,2388,2.6,0.7,z,[17]
,,2700,4.3,a,t,[32]
,A,8078,<     0.2,,z,[ 4]
PSR 1706-16,A,80,'<    110,,z,[63]
,,327,70,c,,[53]
,,408,20,c,,[40]
,,410,20,b,I,[45]
,,410,45,c,t,[48]
,,1420,15,c,I,[22]
,,1420,4,b,I,[20]
PSR 1749-28,,80,750,b,z,[63]
,,408,500,c,,[36]
,,1420,30,b,,[23]
,,1420,20,c,,[26]
,,1420,9,2,I,[61]
,,1420,11,b,I,[20]
